Keyword,Avg_Searches,Avg_Clicks,Competition,Google_Searches,Source_File
stickers,84257.0,105659.0,3334614.0,201000.0,gpt.csv
wall art,75198.0,85546.0,15248319.0,90500.0,gpt.csv
gift for her,56583.0,54373.0,5409638.0,33100.0,gpt.csv
home decor,50850.0,51399.0,24385803.0,165000.0,gpt.csv
poster,38148.0,49408.0,3413543.0,135000.0,gpt.csv
vintage,37984.0,43632.0,16836528.0,246000.0,gpt.csv
art,34849.0,38919.0,25562359.0,450000.0,gpt.csv
wedding,32060.0,34408.0,5183896.0,165000.0,gpt.csv
digital products,29572.0,38159.0,156839.0,,gpt.csv
gift for mom,26376.0,27033.0,3484179.0,110000.0,gpt.csv
wall decor,26279.0,27751.0,16572292.0,60500.0,gpt.csv
painting,24499.0,27084.0,2787009.0,450000.0,gpt.csv
png,23914.0,29664.0,5548796.0,110000.0,gpt.csv
fall decor,23650.0,23361.0,1113239.0,49500.0,gpt.csv
wedding gift,23333.0,22602.0,2719345.0,33100.0,gpt.csv
gifts for her,21117.0,22890.0,5405483.0,33100.0,gpt.csv
svg,19070.0,23102.0,3300999.0,40500.0,gpt.csv
personalized gifts,18573.0,18029.0,5572188.0,110000.0,gpt.csv
book,18395.0,25745.0,2642549.0,823000.0,gpt.csv
decor,18034.0,20785.0,27231086.0,135000.0,gpt.csv
minimalist,17717.0,19501.0,3547453.0,60500.0,gpt.csv
wallpaper,16505.0,17116.0,375867.0,1220000.0,gpt.csv
room decor,16488.0,19602.0,6171241.0,49500.0,gpt.csv
pink,16211.0,23484.0,7059266.0,1220000.0,gpt.csv
digital prints,16152.0,16555.0,7696218.0,8100.0,gpt.csv
digital download,15812.0,18538.0,8592990.0,10.0,gpt.csv
handmade,15369.0,17420.0,5157929.0,14800.0,gpt.csv
book lover gift,15306.0,15960.0,537834.0,,gpt.csv
valentines day gift,14634.0,18389.0,976304.0,6600.0,gpt.csv
halloween decor,14207.0,17049.0,1317768.0,,gpt.csv
kpop,14188.0,17508.0,139595.0,301000.0,gpt.csv
housewarming gift,13803.0,15568.0,1468837.0,74000.0,gpt.csv
stained glass,13740.0,16082.0,326668.0,880.0,gpt.csv
easter,13693.0,14444.0,1235856.0,673000.0,gpt.csv
print,13584.0,14353.0,13278365.0,246000.0,gpt.csv
art print,12913.0,14048.0,10380551.0,33100.0,gpt.csv
butterfly,12680.0,16312.0,743970.0,550000.0,gpt.csv
cross,11763.0,12960.0,1305971.0,550000.0,gpt.csv
suncatcher,11348.0,14263.0,206335.0,18100.0,gpt.csv
christmas png,11331.0,15322.0,842655.0,5400.0,gpt.csv
heart,11234.0,15796.0,2084741.0,1000000.0,gpt.csv
digital art,11203.0,12580.0,12396252.0,27100.0,gpt.csv
home,11109.0,9106.0,33446031.0,1830000.0,gpt.csv
music,10772.0,11425.0,3657479.0,1220000.0,gpt.csv
template,10546.0,11713.0,6579967.0,60500.0,gpt.csv
hosting decor,10229.0,10483.0,40190.0,,gpt.csv
printable,10001.0,10547.0,6546736.0,201000.0,gpt.csv
clipart,9996.0,11749.0,2133738.0,,gpt.csv
skull,9854.0,13065.0,712521.0,,gpt.csv
gothic,9758.0,11751.0,1209280.0,,gpt.csv
flowers,9648.0,11570.0,4805134.0,1830000.0,gpt.csv
wall decor gift,9553.0,8521.0,4480835.0,,gpt.csv
printable wall art,8736.0,10016.0,2760314.0,2900.0,gpt.csv
christian,8194.0,10171.0,1518819.0,201000.0,gpt.csv
wall hangings,8113.0,6952.0,12848998.0,12100.0,gpt.csv
canva template,7958.0,8486.0,1135712.0,18100.0,gpt.csv
rabbit,7657.0,10624.0,365589.0,246000.0,gpt.csv
wall art prints,7635.0,8846.0,9651076.0,5400.0,gpt.csv
digital product,7614.0,10045.0,156843.0,,gpt.csv
